TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,White-alone pop,POP_ESTIMATE_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,POVALL_2018,PCTPOVALL_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,COUNTY_NAME,STATE_NAME,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
25339.0,2483,4218,6429,2357,2186,2612,23395,25339,10.5,7.5,3.1,1263,4831,5356,23.9,40395.0,10672,10297,375,3.5,40395,273.1,236.3,86.6,79.0,7.0,6.3,14.13270895,2.750439406,0.504591891,15.7622926,11.31609356,44.9376303,10,25437,4911,19.3,579,25,1,20684,41.4,29.3,8.2,9.6,2.7,19.94553849796756,1,29.25135167133667,1944,19.25
23963.0,3567,3274,3109,2581,2329,2673,22279,23963,15.5,11.5,3.9,4885,4983,6364,27.2,30570.0,10107,8904,1203,11.9,30570,244.8,213.8,91.1,82.1,7.7,7.3,11.68743856,6.083872125,0.468869844,11.19569701,12.97968959,33.09534949,6,24319,6445,26.5,1146,31,29,17723,50.4,37.0,9.3,16.9,4.6,26.833034261152612,1,23.640612611108793,1684,38.599999999999994
153337.625,48233,59170,80121,54810,48368,48525,190259,414576,11.3,7.7,3.6,22729,57095,64210,16.7,52611.0,196988,190216,6772,3.4,52611,229.5,205.0,80.1,72.3,7.0,6.2,172.9531335,85.53881994,2.9057676592500004,174.2578248,190.8926382,526.1167457,211,404869,68651,17.0,524,40,79,325946,42.6,36.3,5.8,11.0,2.8,25.121199053396058,2,37.19048080991211,224317,19.6
20455.0,3239,3167,3021,2792,2496,2274,17854,20455,17.8,6.3,11.5,3428,3338,2530,12.7,51812.0,9145,8893,252,2.8,51812,206.7,189.1,73.9,68.5,6.2,5.8,5.86714215,6.681590706,0.648446303,6.842405389,11.72390916,24.18445332,0,21409,3404,15.9,1026,36,139,14756,46.1,35.2,7.5,12.4,3.0,16.94451234417013,2,29.528232705939867,2601,17.049999999999997
36219.0,3827,5849,7475,3393,3315,3892,33776,36219,9.6,9.5,0.1,1517,7160,6316,19.0,42282.0,16179,15355,824,5.1,42282,287.0,249.7,97.8,87.6,7.9,6.7,16.01534027,13.70724711,0.521766742,26.86736382,21.82361865,73.5654872,5,36333,8122,22.4,852,22,61,28983,39.9,31.2,8.6,10.2,3.0,23.37999392584003,1,34.619950854523864,2443,14.5
153337.625,26169,29617,25406,28165,30653,29307,178681,215707,10.6,7.3,3.3,11258,29106,16916,8.0,75663.0,112891,109672,3219,2.9,75663,217.1,196.7,77.2,71.2,7.6,6.9,111.9605364,23.61012494,2.9057676592500004,100.8395056,82.43684745,279.8792755,32,208721,41610,19.9,58,0,117,165062,43.5,32.7,6.9,10.6,2.7,25.121199053396058,2,37.19048080991211,37026,8.55
35761.0,4016,4417,4441,4340,4122,5022,33234,35761,10.6,10.4,0.2,2722,11005,4220,12.6,59323.0,16610,15876,734,4.4,59323,284.4,240.5,99.6,87.2,7.0,5.8,13.92989001,6.994415858,0.524861864,27.08792434,16.99205201,60.01949788,5,36812,9046,24.6,511,13,105,28089,47.3,34.9,9.3,11.4,3.2,26.294007438270743,1,32.97726573641677,2527,15.600000000000001
53446.0,6601,6863,6496,6726,6976,7563,49563,53446,11.3,9.9,1.4,6015,14665,7259,13.8,56166.0,26257,25464,793,3.0,56166,253.1,225.8,85.1,77.8,8.1,7.4,45.3777185,9.410271477,0.907870151,28.31765418,19.6257843,79.75836638,6,51341,10824,21.1,1478,42,43,41105,48.1,35.4,10.8,12.9,3.2,22.8660704262246,1,27.837443400815776,3883,18.799999999999997
15876.0,1273,1564,2061,2581,2329,2132,9578,15876,8.2,10.4,-2.1,3607,5573,4042,31.9,34297.0,4375,4078,297,6.8,34297,228.7,202.9,79.1,71.9,7.0,6.1,7.266801813,5.021111035,0.218834115,7.512801542,5.147883901,19.29965973,0,16339,3802,23.3,426,10,271,13339,55.9,41.0,11.5,18.4,4.3,24.792139077853363,2,18.6885865457294,6298,35.400000000000006
153337.625,20859,24247,21113,21212,24954,26557,147080,178435,10.7,9.3,1.4,13015,33120,16746,9.5,60044.0,87984,84841,3143,3.6,60044,255.0,223.5,86.2,78.1,7.1,6.2,81.05823354,72.89570208,1.924638999,86.86651909,69.14952974,257.4032818,36,169798,34692,20.4,1221,33,97,137375,45.5,34.1,7.8,11.6,3.0,24.777594540152815,2,37.19048080991211,31355,13.3
