MEDHHINC_2018,Median_Household_Income_2018,anycondition_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence
55202.0,55202.0,49.1,10.5,12.4,3.2
50531.0,50531.0,40.0,6.1,8.4,2.3
39506.0,39506.0,55.6,11.6,18.8,4.8
62343.0,62343.0,44.1,6.8,9.9,2.5
66849.0,66849.0,48.0,8.3,12.9,3.3
41455.0,41455.0,51.0,11.9,14.5,3.7
62522.0,62522.0,46.4,9.2,11.0,3.1
53745.0,53745.0,49.2,9.5,10.8,3.1
122930.0,122930.0,32.8,4.3,9.5,2.5
51188.0,51188.0,46.9,9.5,14.8,3.9
82533.0,82533.0,32.0,4.9,8.1,2.6
48831.0,48831.0,49.6,10.4,15.0,3.6
55242.0,55242.0,35.9,8.1,11.7,3.8
32906.0,32906.0,57.9,14.7,16.6,3.9
31419.0,31419.0,53.3,11.3,17.4,4.2
58943.0,58943.0,38.3,7.4,10.9,3.2
56837.0,56837.0,43.1,7.9,13.1,3.5
47202.0,47202.0,46.1,6.6,11.4,3.1
56456.0,56456.0,49.5,10.6,12.8,3.7
50412.0,50412.0,46.3,10.5,13.5,3.4
56775.0,56775.0,47.4,7.9,13.7,3.4
44564.0,44564.0,47.7,10.7,13.2,3.5
55334.0,55334.0,49.1,10.7,13.3,3.3
57069.0,57069.0,37.0,6.3,10.8,3.3
41517.0,41517.0,51.0,10.9,13.8,3.7
42423.0,42423.0,57.2,12.0,18.6,4.3
44710.0,44710.0,48.0,10.4,14.7,3.9
45268.0,45268.0,49.4,9.7,13.5,3.4
38704.0,38704.0,61.5,15.0,16.5,3.9
48688.0,48688.0,41.5,8.9,11.1,3.4
82445.0,82445.0,46.0,5.6,14.4,3.2
40433.0,40433.0,54.4,10.9,17.3,4.4
60826.0,60826.0,40.9,7.5,12.7,3.2
43159.0,43159.0,49.8,12.7,16.0,4.0
58648.0,58648.0,45.0,7.4,10.4,3.2
49321.0,49321.0,47.1,8.4,12.5,3.6
70649.0,70649.0,39.6,9.6,13.8,4.0
46912.0,46912.0,51.5,10.8,17.2,4.5
59114.0,59114.0,40.4,8.4,10.4,2.9
55776.0,55776.0,48.2,9.6,15.0,3.9
46345.0,46345.0,45.7,10.0,12.9,3.5
51030.0,51030.0,44.5,10.3,13.0,3.3
45697.0,45697.0,50.9,9.9,13.8,3.6
55860.0,55860.0,46.8,9.4,12.9,3.2
83014.0,83014.0,34.6,5.2,8.4,2.7
46262.0,46262.0,45.8,9.4,11.7,3.2
49161.0,49161.0,52.0,12.0,14.6,3.6
64714.0,64714.0,41.4,7.1,9.8,2.7
61044.0,61044.0,33.5,6.8,10.2,3.1
42701.0,42701.0,49.7,10.0,15.0,4.0
45670.0,45670.0,47.1,7.3,14.3,3.6
61387.0,61387.0,44.0,6.2,10.6,3.1
41101.0,41101.0,42.4,8.2,11.2,3.4
58448.0,58448.0,35.1,5.6,8.8,2.4
58890.0,58890.0,45.8,8.7,12.6,3.1
54339.0,54339.0,43.4,7.0,11.0,3.1
56211.0,56211.0,40.3,8.8,11.7,3.6
37013.0,37013.0,54.8,12.5,15.1,4.1
40761.0,40761.0,49.0,11.1,13.1,3.8
72949.0,72949.0,31.2,5.4,8.0,2.6
53871.0,53871.0,47.1,10.0,11.7,3.1
56169.0,56169.0,46.5,7.0,12.8,3.4
44735.0,44735.0,53.4,9.5,15.6,3.9
55079.0,55079.0,37.3,8.3,11.9,3.7
65209.0,65209.0,48.7,9.6,11.1,3.1
53795.0,53795.0,42.7,8.6,11.9,3.3
68381.0,68381.0,37.3,6.7,10.5,3.0
55226.0,55226.0,41.2,6.9,10.2,3.0
52318.0,52318.0,41.0,6.6,12.0,3.3
66151.0,66151.0,51.0,10.1,13.0,3.0
49640.0,49640.0,51.7,8.4,15.9,3.6
59043.0,59043.0,46.8,10.1,12.3,3.3
44693.0,44693.0,44.8,9.9,12.4,3.5
43274.0,43274.0,50.8,8.8,13.8,3.7
30490.0,30490.0,55.0,7.9,19.4,4.5
35751.0,35751.0,60.1,16.1,17.6,4.2
57925.0,57925.0,45.1,8.0,12.0,3.2
54331.0,54331.0,48.7,9.8,12.6,3.2
43651.0,43651.0,54.1,12.4,14.5,3.6
39463.0,39463.0,49.3,11.3,13.2,3.6
43535.0,43535.0,46.9,9.4,12.8,3.3
54865.0,54865.0,46.8,7.9,11.5,3.4
50605.0,50605.0,50.3,8.5,12.5,3.4
49712.0,49712.0,38.0,6.8,11.3,3.3
47057.0,47057.0,33.4,4.9,7.1,2.0
42689.0,42689.0,49.3,11.6,13.8,3.7
68126.0,68126.0,47.8,7.0,11.7,2.7
48529.0,48529.0,48.3,7.3,12.7,3.1
47049.0,47049.0,49.2,11.1,13.6,3.6
55245.0,55245.0,43.5,8.6,11.1,3.4
65280.0,65280.0,48.8,8.6,12.0,2.8
61508.0,61508.0,45.5,8.1,10.0,2.9
47674.0,47674.0,36.2,6.6,10.1,3.1
40909.0,40909.0,51.2,9.4,14.5,3.6
42522.0,42522.0,48.8,8.5,11.7,3.1
80189.0,80189.0,44.0,5.5,10.2,2.5
51327.0,51327.0,48.9,8.1,12.7,3.6
51131.0,51131.0,47.4,9.5,13.4,3.6
44776.0,44776.0,53.0,7.9,15.0,3.6
48763.0,48763.0,45.3,8.5,12.5,3.6
61652.0,61652.0,41.9,10.1,13.1,4.0
63310.0,63310.0,45.3,6.0,12.8,3.1
79719.0,79719.0,39.5,7.1,11.5,2.9
41899.0,41899.0,52.6,9.7,14.2,3.8
70495.0,70495.0,41.5,8.7,12.0,3.5
64387.0,64387.0,30.9,4.5,7.4,2.2
47097.0,47097.0,48.8,8.4,12.4,3.5
55879.0,55879.0,38.8,7.3,10.4,3.2
57934.0,57934.0,42.8,7.2,11.2,3.1
46600.0,46600.0,50.0,9.9,13.2,3.4
58307.0,58307.0,33.6,6.9,9.1,2.9
35636.0,35636.0,53.4,10.7,16.4,3.9
38849.0,38849.0,59.9,12.4,17.0,3.9
53387.0,53387.0,43.5,6.5,10.6,3.2
42439.0,42439.0,57.4,13.7,16.2,3.8
40468.0,40468.0,44.4,10.6,15.2,4.3
33908.0,33908.0,58.5,14.0,22.2,5.5
55343.0,55343.0,47.6,9.5,13.7,3.6
81315.0,81315.0,44.8,6.5,10.1,2.7
38418.0,38418.0,53.8,11.5,17.3,4.0
51255.0,51255.0,49.4,11.1,13.1,3.5
46141.0,46141.0,46.5,10.6,14.3,4.1
38409.0,38409.0,41.4,6.4,12.8,3.6
42785.0,42785.0,52.3,10.7,17.5,4.1
47869.0,47869.0,36.8,7.6,10.0,3.3
49716.0,49716.0,49.8,10.2,12.6,3.6
37901.0,37901.0,52.3,11.3,15.3,3.9
58380.0,58380.0,48.8,10.3,13.7,3.2
38097.0,38097.0,54.3,9.5,16.9,4.4
57705.0,57705.0,44.9,9.1,12.1,3.0
48689.0,48689.0,47.9,10.9,13.1,3.3
61219.0,61219.0,40.6,7.0,10.8,3.0
54149.0,54149.0,48.2,9.4,11.0,3.1
41541.0,41541.0,52.4,13.5,16.1,3.8
56557.0,56557.0,49.0,9.9,11.7,3.3
55874.0,55874.0,40.8,8.3,11.5,2.9
55378.0,55378.0,42.2,6.9,11.1,3.4
68835.0,68835.0,38.0,8.0,11.0,2.9
52151.0,52151.0,40.0,7.0,8.8,2.4
62835.0,62835.0,43.1,8.5,11.9,3.0
55190.0,55190.0,37.5,8.3,11.3,3.4
47302.0,47302.0,40.2,7.6,11.2,3.2
57210.0,57210.0,45.3,8.1,12.4,3.3
53034.0,53034.0,49.4,6.3,14.0,3.3
57208.0,57208.0,44.0,7.3,11.0,3.1
53134.0,53134.0,49.0,9.6,12.8,3.0
39201.0,39201.0,52.7,12.2,16.4,4.0
60767.0,60767.0,41.1,6.5,9.9,2.8
50553.0,50553.0,48.3,8.5,13.0,3.5
48315.0,48315.0,44.6,9.7,12.6,3.5
50162.0,50162.0,53.3,11.4,14.0,3.3
51441.0,51441.0,48.4,10.8,13.8,3.3
67161.0,67161.0,43.5,6.9,10.0,2.8
43031.0,43031.0,54.9,11.7,14.4,3.5
50594.0,50594.0,48.9,7.0,14.5,3.4
50006.0,50006.0,45.2,8.7,13.3,3.5
56343.0,56343.0,37.6,10.0,13.0,3.9
48020.0,48020.0,54.4,12.1,15.3,3.6
59020.0,59020.0,45.9,11.8,14.4,4.0
36384.0,36384.0,58.6,16.3,18.1,4.2
45607.0,45607.0,49.2,12.0,13.8,3.8
54376.0,54376.0,43.8,8.9,11.3,3.2
55687.0,55687.0,41.6,6.8,11.7,3.4
58693.0,58693.0,49.8,10.1,12.3,3.2
68243.0,68243.0,48.6,7.6,12.2,3.3
55371.0,55371.0,46.6,8.3,12.1,3.5
49210.0,49210.0,51.8,10.5,15.0,4.0
38479.0,38479.0,55.7,10.8,16.5,4.0
32321.0,32321.0,64.2,16.8,18.7,4.3
44298.0,44298.0,52.7,8.8,12.8,3.6
93645.0,93645.0,39.2,7.0,9.4,2.6
38187.0,38187.0,54.8,12.0,19.9,4.8
78112.0,78112.0,37.3,6.8,8.4,2.5
86268.0,86268.0,40.4,6.8,9.3,2.6
48858.0,48858.0,44.1,7.5,12.5,3.2
40425.0,40425.0,49.9,9.8,16.2,4.1
52567.0,52567.0,43.5,7.6,11.5,3.1
42099.0,42099.0,52.7,9.9,16.5,3.8
49482.0,49482.0,42.0,8.6,11.4,3.3
77684.0,77684.0,44.2,7.3,10.4,2.8
35433.0,35433.0,55.6,11.0,19.4,4.8
53833.0,53833.0,38.4,5.9,9.5,3.0
47864.0,47864.0,49.6,8.3,12.4,3.3
40972.0,40972.0,48.6,10.9,13.7,3.7
69600.0,69600.0,40.0,6.1,10.0,2.7
48182.0,48182.0,52.6,13.4,16.0,3.7
52872.0,52872.0,42.8,8.4,11.5,3.2
69753.0,69753.0,49.1,7.0,12.7,3.1
52355.0,52355.0,40.6,6.7,11.8,3.3
57002.0,57002.0,43.3,6.9,10.2,3.0
43767.0,43767.0,50.0,9.5,11.5,3.2
40965.0,40965.0,46.9,10.8,15.6,3.9
47976.0,47976.0,49.0,8.6,13.6,3.8
44261.0,44261.0,52.0,10.8,13.1,3.5
41298.0,41298.0,56.6,12.9,16.0,3.6
53147.0,53147.0,42.4,7.4,10.8,3.2
53961.0,53961.0,46.4,7.4,11.7,3.0
39309.0,39309.0,47.7,11.2,13.5,3.6
48489.0,48489.0,38.3,7.6,9.6,2.8
44902.0,44902.0,49.7,11.4,14.6,3.9
49060.0,49060.0,52.1,12.3,14.3,3.2
37823.0,37823.0,56.1,12.4,16.7,4.0
42455.0,42455.0,39.4,7.7,11.2,3.6
42640.0,42640.0,40.0,6.2,8.5,2.4
54917.0,54917.0,43.9,6.7,11.0,3.3
50529.0,50529.0,49.6,9.8,13.8,3.7
47999.0,47999.0,41.9,8.7,11.6,3.2
49498.0,49498.0,53.3,9.6,15.5,3.8
46835.0,46835.0,51.5,11.2,14.4,3.4
47561.0,47561.0,30.8,5.4,7.4,2.3
59142.0,59142.0,47.5,9.7,11.7,3.1
34894.0,34894.0,64.6,15.8,17.6,3.9
54569.0,54569.0,41.6,7.3,11.1,3.1
37550.0,37550.0,53.5,11.7,14.6,4.0
57832.0,57832.0,44.6,9.2,13.1,3.6
49151.0,49151.0,45.9,7.9,12.2,3.4
57549.0,57549.0,47.9,10.4,12.5,3.3
70955.0,70955.0,37.2,6.9,10.6,3.2
51985.0,51985.0,49.5,9.5,12.6,3.4
55512.0,55512.0,43.8,8.1,11.2,3.4
47591.0,47591.0,49.4,10.9,13.1,3.5
60874.0,60874.0,50.3,9.7,12.9,3.1
67498.0,67498.0,43.8,11.4,12.5,3.1
58239.0,58239.0,46.3,8.5,12.8,3.6
63347.0,63347.0,39.2,6.3,10.8,3.0
46862.0,46862.0,44.3,7.0,10.7,3.2
39934.0,39934.0,51.6,11.3,13.9,3.9
51829.0,51829.0,45.0,9.5,12.4,3.3
48192.0,48192.0,49.1,9.4,14.8,3.8
55052.0,55052.0,49.3,9.1,13.4,3.5
50482.0,50482.0,48.5,8.5,12.1,3.7
34796.0,34796.0,51.2,12.5,14.9,4.0
60627.0,60627.0,47.9,7.9,11.9,3.4
60808.0,60808.0,46.9,8.8,13.6,3.4
62270.0,62270.0,41.5,6.9,10.9,3.1
37350.0,37350.0,54.5,12.6,17.7,5.5
70808.0,70808.0,33.1,5.3,10.1,2.7
62519.0,62519.0,41.8,7.8,11.2,3.1
57879.0,57879.0,40.9,7.2,12.1,3.3
38886.0,38886.0,53.0,11.2,17.5,4.2
44837.0,44837.0,59.3,15.5,17.2,4.0
84889.0,84889.0,38.7,4.2,7.9,2.2
49393.0,49393.0,44.3,9.9,12.1,3.3
57183.0,57183.0,42.6,8.4,13.4,3.8
51715.0,51715.0,43.7,7.4,9.9,2.8
57126.0,57126.0,48.8,9.4,13.5,3.6
43879.0,43879.0,48.9,9.1,14.3,3.7
35848.0,35848.0,54.4,14.8,16.3,3.9
49609.0,49609.0,42.2,6.6,11.3,3.3
59003.0,59003.0,43.2,6.8,10.3,3.0
42116.0,42116.0,50.5,10.0,16.2,3.9
34090.0,34090.0,56.2,12.7,22.1,5.2
52278.0,52278.0,52.2,9.5,13.4,3.0
46191.0,46191.0,48.0,9.4,13.3,3.9
53806.0,53806.0,41.8,8.5,11.9,3.3
39450.0,39450.0,52.1,10.7,14.9,3.8
79658.0,79658.0,41.0,6.5,10.1,2.6
47835.0,47835.0,48.8,9.0,13.7,3.6
90155.0,90155.0,37.3,5.7,9.4,2.7
66296.0,66296.0,47.0,7.2,11.0,2.8
34984.0,34984.0,54.0,11.6,18.9,4.7
46869.0,46869.0,35.6,4.5,6.7,1.8
76304.0,76304.0,33.2,6.6,9.2,2.9
38827.0,38827.0,48.4,10.4,15.5,3.8
50050.0,50050.0,38.4,8.3,12.9,3.6
50672.0,50672.0,46.2,10.7,13.7,3.4
38288.0,38288.0,50.7,10.4,18.2,4.3
82284.0,82284.0,40.1,5.0,8.6,2.5
45278.0,45278.0,55.9,12.7,15.4,3.6
51804.0,51804.0,41.9,7.3,11.7,3.2
